step,ux,uy
511,0.0483666,-1.96814e-13
512,0.0483817,-3.8006e-13
513,0.0483625,-7.20644e-13
514,0.0483779,-1.34819e-12
515,0.0483584,-2.48601e-12
516,0.048374,-4.52273e-12
517,0.0483544,-8.11442e-12
518,0.0483702,-1.43665e-11
519,0.0483503,-2.50988e-11
520,0.0483664,-4.32795e-11
521,0.0483463,-7.36671e-11
522,0.0483625,-1.23797e-10
523,0.0483422,-2.05412e-10
524,0.0483586,-3.36576e-10
525,0.0483382,-5.44644e-10
526,0.0483548,-8.70478e-10
527,0.0483342,-1.37418e-09
528,0.0483509,-2.14289e-09
529,0.0483301,-3.30099e-09
530,0.048347,-5.02343e-09
531,0.0483261,-7.55222e-09
532,0.0483431,-1.12171e-08
533,0.0483222,-1.64596e-08
534,0.0483393,-2.38611e-08
535,0.0483183,-3.41736e-08
536,0.0483355,-4.83515e-08
537,0.0483146,-6.7582e-08
538,0.048332,-9.33121e-08
539,0.0483111,-1.27262e-07
540,0.0483287,-1.71431e-07
541,0.048308,-2.28069e-07
542,0.0483259,-2.99632e-07
543,0.0483056,-3.88683e-07
544,0.048324,-4.97777e-07
545,0.0483042,-6.29259e-07
546,0.0483232,-7.85059e-07
547,0.0483043,-9.66403e-07
548,0.0483242,-1.17353e-06
549,0.0483064,-1.40536e-06
550,0.0483275,-1.65922e-06
551,0.048311,-1.93057e-06
552,0.0483334,-2.21287e-06
553,0.0483184,-2.49751e-06
554,0.0483422,-2.77402e-06
555,0.0483286,-3.03033e-06
556,0.0483536,-3.2534e-06
557,0.0483413,-3.4299e-06
558,0.048367,-3.54728e-06
559,0.0483553,-3.5947e-06
560,0.0483811,-3.56426e-06
561,0.0483694,-3.45193e-06
562,0.0483944,-3.25843e-06
563,0.0483818,-2.98972e-06
564,0.0484053,-2.65706e-06
565,0.0483911,-2.27663e-06
566,0.0484124,-1.86851e-06
567,0.0483963,-1.45537e-06
568,0.0484152,-1.06052e-06
569,0.0483972,-7.06097e-07
570,0.0484141,-4.10834e-07
571,0.0483947,-1.88515e-07
572,0.0484103,-4.64564e-08
573,0.0483903,1.49837e-08
574,0.0484052,2.50207e-09
575,0.0483854,-7.11656e-08
576,0.0484005,-1.88638e-07
577,0.0483815,-3.30088e-07
578,0.048397,-4.75436e-07
579,0.0483789,-6.0674e-07
580,0.0483949,-7.10021e-07
581,0.0483776,-7.76689e-07
582,0.0483936,-8.03996e-07
583,0.0483768,-7.94856e-07
584,0.0483925,-7.56689e-07
585,0.0483757,-6.99918e-07
586,0.0483909,-6.35929e-07
587,0.048374,-5.75294e-07
588,0.0483885,-5.26075e-07
589,0.0483715,-4.92928e-07
590,0.0483854,-4.76662e-07
591,0.0483683,-4.74742e-07
592,0.0483817,-4.82112e-07
593,0.0483647,-4.92626e-07
594,0.0483777,-5.00306e-07
595,0.0483609,-5.00653e-07
596,0.0483734,-4.91307e-07
597,0.0483567,-4.72404e-07
598,0.0483689,-4.46162e-07
599,0.0483524,-4.16278e-07
600,0.0483643,-3.86827e-07
601,0.0483481,-3.61407e-07
602,0.0483599,-3.42228e-07
603,0.0483442,-3.2982e-07
604,0.048356,-3.22912e-07
605,0.0483409,-3.18962e-07
606,0.0483528,-3.14719e-07
607,0.0483385,-3.0713e-07
608,0.0483505,-2.93922e-07
609,0.0483367,-2.74198e-07
610,0.0483488,-2.48463e-07
611,0.0483356,-2.1856e-07
612,0.0483476,-1.87105e-07
613,0.0483348,-1.57021e-07
614,0.0483467,-1.30844e-07
615,0.0483342,-1.10399e-07
616,0.0483458,-9.6458e-08
617,0.0483337,-8.8875e-08
618,0.048345,-8.66952e-08
619,0.048333,-8.86083e-08
620,0.048344,-9.3198e-08
621,0.0483322,-9.9336e-08
622,0.0483427,-1.06226e-07
623,0.0483308,-1.1351e-07
624,0.0483408,-1.21042e-07
625,0.048329,-1.28813e-07
626,0.0483385,-1.3667e-07
627,0.0483266,-1.4431e-07
628,0.0483356,-1.51169e-07
629,0.0483239,-1.56608e-07
630,0.0483325,-1.59963e-07
631,0.0483209,-1.608e-07
632,0.0483292,-1.58949e-07
633,0.0483178,-1.54637e-07
634,0.0483259,-1.48357e-07
635,0.0483148,-1.40834e-07
636,0.0483227,-1.32774e-07
637,0.0483118,-1.2478e-07
638,0.0483195,-1.17142e-07
639,0.0483089,-1.09847e-07
640,0.0483164,-1.02493e-07
641,0.048306,-9.44085e-08
642,0.0483133,-8.46216e-08
643,0.0483031,-7.19734e-08
644,0.0483101,-5.50223e-08
645,0.0483001,-3.20366e-08
646,0.0483069,-7.71401e-10
647,0.048297,4.16646e-08
648,0.0483035,9.91242e-08
649,0.0482938,1.7662e-07
650,0.0483001,2.80674e-07
651,0.0482906,4.19537e-07
652,0.0482966,6.03556e-07
653,0.0482873,8.45425e-07
654,0.0482931,1.16057e-06
655,0.0482839,1.56739e-06
656,0.0482895,2.08762e-06
657,0.0482804,2.74645e-06
658,0.0482858,3.57258e-06
659,0.0482768,4.59807e-06
660,0.0482819,5.85781e-06
661,0.0482731,7.38874e-06
662,0.0482779,9.22855e-06
663,0.0482691,1.1414e-05
664,0.0482736,1.39787e-05
665,0.0482649,1.69504e-05
666,0.0482692,2.03481e-05
667,0.0482605,2.41785e-05
668,0.0482645,2.84326e-05
669,0.0482559,3.30823e-05
670,0.0482597,3.80771e-05
671,0.0482514,4.33423e-05
672,0.0482551,4.87768e-05
673,0.0482471,5.4254e-05
674,0.048251,5.96231e-05
675,0.0482436,6.47127e-05
676,0.0482479,6.9337e-05
677,0.0482414,7.33033e-05
678,0.0482465,7.64214e-05
679,0.0482412,7.85152e-05
680,0.0482474,7.94337e-05
681,0.0482437,7.90638e-05
682,0.0482515,7.73404e-05
683,0.0482496,7.42562e-05
684,0.048259,6.98672e-05
685,0.0482592,6.4296e-05
686,0.0482704,5.77286e-05
687,0.0482725,5.04081e-05
688,0.0482851,4.26217e-05
689,0.0482889,3.46844e-05
690,0.0483027,2.69179e-05
691,0.0483075,1.96276e-05
692,0.0483218,1.3079e-05
693,0.0483271,7.47631e-06
694,0.0483413,2.94444e-06
695,0.0483463,-4.82388e-07
696,0.0483598,-2.8644e-06
697,0.0483641,-4.35087e-06
698,0.0483764,-5.16628e-06
699,0.0483797,-5.58824e-06
700,0.0483907,-5.91987e-06
701,0.0483929,-6.45897e-06
702,0.0484027,-7.46779e-06
703,0.048404,-9.1464e-06
704,0.0484128,-1.16131e-05
705,0.0484135,-1.48937e-05
706,0.0484216,-1.89219e-05
707,0.0484219,-2.35488e-05
708,0.0484295,-2.85622e-05
709,0.0484295,-3.37116e-05
710,0.0484366,-3.87367e-05
711,0.0484364,-4.33945e-05
712,0.048443,-4.74831e-05
